municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
ABADIA DE GOIÁS,GOIÁS,Cerrado,-16.73377,-49.43576,0,0.98404247,25,28.065699797522456,14.5
ABADIA DOS DOURADOS,MINAS GERAIS,Cerrado,-18.323636,-47.447717999999995,1,0.9873093,25,33.08878969548547,20.8
ABADIÂNIA,GOIÁS,Cerrado,-16.153771666666668,-48.86718666666667,2,0.98584855,25,27.4100379563905,25.583333333333332
ABAETETUBA,PARÁ,Amazônia,-1.7832235,-48.7532105,3,0.9975038,25,25.385415902696753,3.3157894736842106
ABAETÉ,MINAS GERAIS,Cerrado,-19.060281428571425,-45.35804714285714,4,0.9909718,25,22.745217781500255,12.428571428571429
ABAIARA,CEARÁ,Caatinga,-7.371599000000001,-39.028936,5,0.9830595,25,31.895201014198264,13.055555555555555
ABATIÁ,PARANÁ,Mata Atlântica,-23.35646,-50.37598,6,0.99936897,25,15.10620416916634,0.0
ABAÍRA,BAHIA,Caatinga,-13.286106666666667,-41.86135,7,0.9837789,25,25.18234382219784,18.666666666666668
ABDON BATISTA,SANTA CATARINA,Mata Atlântica,-27.589586666666666,-51.07960966666667,8,0.9767869,25,33.72090573973482,4.833333333333333
ABEL FIGUEIREDO,PARÁ,Amazônia,-4.952331052631579,-48.44079210526316,9,0.9956262,25,25.399147907708013,4.842105263157895
ABELARDO LUZ,SANTA CATARINA,Mata Atlântica,-26.53805,-52.10325,10,0.00035366794,25,36.96837484176463,2.0
ABRE CAMPO,MINAS GERAIS,Mata Atlântica,-20.22364,-42.46671666666666,11,0.975859,25,43.649621799855225,40.833333333333336
ABREU E LIMA,PERNAMBUCO,Mata Atlântica,-7.89446,-35.03796,12,0.99999833,25,15.859871929699985,6.0
ABREULÂNDIA,TOCANTINS,Cerrado,-9.500304822580645,-49.28092672580645,13,0.98639685,25,34.630942038109396,17.142857142857142
ACAIACA,MINAS GERAIS,Mata Atlântica,-20.418995000000002,-43.086695000000006,14,0.979512,25,30.924992015003507,5.5
ACAJUTIBA,BAHIA,Caatinga,-11.62176,-38.04987,15,0.9772251,25,47.200764791859626,7.5
ACARAPE,CEARÁ,Caatinga,-4.18506,-38.69422,16,0.9794057,25,27.465240120906582,31.5
ACARAÚ,CEARÁ,Caatinga,-2.97727,-40.07138505555556,17,0.98185664,25,27.927133895420404,5.970588235294118
ACARI,RIO GRANDE DO NORTE,Caatinga,-6.517175,-36.74323,18,0.97176313,25,29.10604125543421,8.25
ACARÁ,PARÁ,Amazônia,-2.1319821487603305,-48.43306305785124,19,0.9973386,25,29.22383851763968,3.349673202614379
ACAUÃ,PIAUÍ,Caatinga,-8.346953846153845,-41.079690769230766,20,0.9601209,25,34.9602533805331,29.576923076923077
ACEGUÁ,RIO GRANDE DO SUL,Pampa,-31.585395,-53.97603,21,0.99093354,25,31.271834934511745,3.75
ACOPIARA,CEARÁ,Caatinga,-6.126193692307692,-39.49161892307692,22,0.9873461,25,31.969755599119146,18.306122448979593
ACORIZAL,MATO GROSSO,Cerrado,-15.196483333333333,-56.24098733333334,23,0.97710925,25,34.24863101656704,28.0
ACRELÂNDIA,ACRE,Amazônia,-9.931225999999999,-66.8969325,24,0.9949108,25,30.966974540191142,5.378378378378378
ACREÚNA,GOIÁS,Cerrado,-17.465149444444442,-50.291075000000006,25,0.9917331,25,27.481041868238474,12.384615384615385
ADOLFO,SÃO PAULO,Mata Atlântica,-21.26779,-49.65125,26,0.99999833,25,15.709939934040786,5.5
ADRIANÓPOLIS,PARANÁ,Mata Atlântica,-24.72961153846154,-48.854629230769234,27,0.9847445,25,33.51576877787719,4.083333333333333
ADUSTINA,BAHIA,Caatinga,-10.58269,-37.95284,28,0.99999905,25,18.04389535266965,4.5
AFOGADOS DA INGAZEIRA,PERNAMBUCO,Caatinga,-7.7369216666666665,-37.59681666666666,29,0.9833009,25,31.082310727524206,7.666666666666667
AFONSO BEZERRA,RIO GRANDE DO NORTE,Caatinga,-5.4329350000000005,-36.66516,30,0.9787209,25,34.18358089427758,20.75
AFONSO CLÁUDIO,ESPÍRITO SANTO,Mata Atlântica,-20.099926666666665,-41.08917,31,0.9825988,25,28.239598821289594,7.666666666666667
AFONSO CUNHA,MARANHÃO,Cerrado,-4.201172,-43.2616765,32,0.97096,25,37.584007536180366,11.475
AFRÂNIO,PERNAMBUCO,Caatinga,-8.63132125,-40.998583375,33,0.976891,25,32.45853407968096,25.982758620689655
AFUÁ,PARÁ,Amazônia,-0.046157647058823525,-50.59717652941177,34,0.9972537,25,28.102318573590715,5.428571428571429
AGRESTINA,PERNAMBUCO,Caatinga,-8.41973,-35.96054,35,0.989298,25,22.694435862013588,3.5
AGRICOLÂNDIA,PIAUÍ,Caatinga,-5.770582857142857,-42.655294285714284,36,0.9779458,25,32.52073481281418,3.9166666666666665
