municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
ABADIA DOS DOURADOS,MINAS GERAIS,Cerrado,-18.337533973626368,-47.451443410989,15.964186,Alto,0.12053668025532308,-0.992708874098054,4.148625,25.6375
ABADIÂNIA,GOIÁS,Cerrado,-16.192333350111856,-48.717510151006714,14.512369,Alto,0.12053668025532308,-0.992708874098054,3.515714285714286,29.602040816326532
ABAETETUBA,PARÁ,Amazônia,-1.7625665157639452,-48.77842270573966,11.252095,Alto,0.12053668025532308,-0.992708874098054,34.4981981981982,5.90990990990991
ABAETÉ,MINAS GERAIS,Cerrado,-19.139694977369174,-45.37427347807639,11.528289,Alto,0.12053668025532308,-0.992708874098054,3.838347826086957,23.208695652173912
ABAIARA,CEARÁ,Caatinga,-7.366756460071515,-39.02874343146601,16.64731,Alto,0.12053668025532308,-0.992708874098054,5.06910891089109,19.059405940594058
ABARÉ,BAHIA,Caatinga,-8.702796046511628,-39.27256377906976,13.839899,Alto,0.12053668025532308,-0.992708874098054,1.4587719298245612,32.96491228070175
ABDON BATISTA,SANTA CATARINA,Mata Atlântica,-27.56572337278106,-51.04929284615386,5.9909844,Médio,0.12053668025532308,-0.992708874098054,0.7330357142857142,5.357142857142857
ABEL FIGUEIREDO,PARÁ,Amazônia,-4.928837914389797,-48.43599815373408,16.11421,Alto,0.12053668025532308,-0.992708874098054,19.98410714285714,8.169642857142858
ABELARDO LUZ,SANTA CATARINA,Mata Atlântica,-26.605186594696967,-52.17078520075757,6.442122,Médio,0.12053668025532308,-0.992708874098054,2.0364406779661017,5.762711864406779
ABREU E LIMA,PERNAMBUCO,Mata Atlântica,-7.877153750000001,-35.011733475,13.403574,Alto,0.12053668025532308,-0.992708874098054,1.1126315789473684,12.631578947368421
ABREULÂNDIA,TOCANTINS,Cerrado,-9.486382865605663,-49.30201050203362,27.006113,Alto,0.12053668025532308,-0.992708874098054,94.73590551181103,26.834645669291337
ACAJUTIBA,BAHIA,Mata Atlântica,-11.731666,-38.022696,9.61,Médio,0.12053668025532308,-0.992708874098054,4.105925925925926,16.666666666666668
ACARAPE,CEARÁ,Caatinga,-4.2287935949367075,-38.68438936708861,7.6142354,Médio,0.12053668025532308,-0.992708874098054,0.09119402985074626,52.25373134328358
ACARAÚ,CEARÁ,Caatinga,-2.9912800753186564,-40.08908452896872,14.164518,Alto,0.12053668025532308,-0.992708874098054,2.9821008403361344,23.016806722689076
ACARI,RIO GRANDE DO NORTE,Caatinga,-6.430664796116506,-36.662314436893205,10.642266,Médio,0.12053668025532308,-0.992708874098054,2.0625,24.045454545454547
ACARÁ,PARÁ,Amazônia,-2.1001950609911058,-48.41681799877171,18.681376,Alto,0.12053668025532308,-0.992708874098054,251.83453237410072,7.553956834532374
ACAUÃ,PIAUÍ,Caatinga,-8.292639396479464,-41.00186252640403,15.465816,Alto,0.12053668025532308,-0.992708874098054,3.2444871794871792,40.37179487179487
